FID,area
-1,0.0
0,13928.0
1,15141.0
2,9694.0
3,29659.0
4,12101.0
5,26074.0
6,28981.0
7,30941.0
8,37318.0
9,34509.0
10,26485.0
11,24646.0
12,8392.0
13,13382.0
14,13763.0
15,37269.0
16,30940.0
17,12806.0
18,21315.0
19,21612.0
20,27509.0
21,9845.0
22,6952.0
23,13471.0
24,54732.0
25,13751.0
26,12576.0
27,31866.0
28,8299.0
29,13759.0
30,20825.0
31,23064.0
32,10593.0
33,49270.0
34,35011.0
35,43567.0
36,55073.0
37,49670.0
38,53025.0
39,49049.0
40,43765.0
41,22830.0
42,27945.0
43,25605.0
44,38704.0
45,7400.0
46,6746.0
47,18238.0
48,10876.0
49,29646.0
50,16382.0
51,16602.0
52,21132.0
53,9109.0
54,36581.0
55,46272.0
56,27947.0
57,42972.0
58,35141.0
59,14969.0
60,7818.0
61,15435.0
62,12350.0
63,26246.0
64,12199.0
65,11851.0
66,18417.0
67,11604.0
68,35201.0
69,35000.0
70,30323.0
71,16791.0
72,20953.0
73,46772.0
74,18043.0
75,14903.0
76,19569.0
77,27004.0
78,27534.0
79,18969.0
80,31206.0
81,28046.0
82,30532.0
83,19770.0
84,14056.0
85,10454.0
86,18776.0
87,44878.0
88,41462.0
89,19084.0
90,22197.0
91,32017.0
92,50792.0
93,29593.0
94,12545.0
95,6526.0
96,27244.0
97,37333.0
98,11940.0
99,33002.0
100,8712.0
101,8291.0
102,13810.0
103,28591.0
104,1640.0
105,10614.0
106,21278.0
107,19416.0
108,13702.0
109,18805.0
110,21725.0
111,25327.0
112,16734.0
113,19080.0
114,19025.0
115,15298.0
116,22518.0
117,12482.0
118,41932.0
119,40288.0
120,11847.0
121,19696.0
122,24508.0
123,17194.0
124,38969.0
125,2494.0
126,1863.0
127,24847.0
128,18036.0
129,11009.0
130,10449.0
131,13238.0
132,21393.0
133,8335.0
134,12227.0
135,21487.0
136,14871.0
137,17101.0
138,16740.0
139,18293.0
140,25521.0
141,15171.0
142,26414.0
143,19053.0
144,13622.0
145,4332.0
146,543.0
147,20746.0
148,24899.0
149,5029.0
150,10525.0
151,9583.0
152,15854.0
153,22161.0
154,21017.0
155,13514.0
156,24765.0
157,29640.0
158,12697.0
159,22821.0
160,15741.0
161,25643.0
162,21121.0
163,38067.0
164,43657.0
165,21327.0
166,8529.0
167,23350.0
168,10873.0
169,25238.0
170,14464.0
171,26898.0
172,11898.0
173,16108.0
174,21271.0
175,8368.0
176,16127.0
177,16931.0
178,21041.0
179,24927.0
180,11379.0
181,22053.0
182,15577.0
183,15416.0
184,13860.0
185,25213.0
186,18593.0
187,25965.0
188,19404.0
189,14233.0
190,24700.0
191,34969.0
192,20250.0
193,17204.0
194,25547.0
195,24572.0
196,13816.0
197,15837.0
198,16342.0
199,11535.0
200,17603.0
201,26981.0
202,15410.0
203,19883.0
204,25729.0
205,23552.0
206,14793.0
207,17306.0
208,22530.0
209,18616.0
210,23096.0
211,14028.0
212,9512.0
213,20123.0
214,12723.0
215,13259.0
216,20844.0
217,15551.0
218,17661.0
219,20015.0
220,27635.0
221,15739.0
222,27063.0
223,20728.0
224,24413.0
225,26846.0
226,19209.0
227,20107.0
228,12949.0
229,21888.0
230,24203.0
231,16883.0
232,11309.0
233,18294.0
234,18140.0
235,15690.0
236,19611.0
237,15065.0
238,17916.0
239,14438.0
240,30831.0
241,14344.0
242,27432.0
243,14398.0
244,18451.0
245,27193.0
246,8510.0
247,25940.0
248,30142.0
249,18975.0
250,25619.0
251,17443.0
252,16271.0
253,19398.0
254,9013.0
255,15897.0
256,21188.0
257,11536.0
258,20355.0
259,22312.0
260,20824.0
261,10835.0
262,4742.0
263,16572.0
264,18472.0
265,26186.0
266,19859.0
267,22412.0
268,20421.0
269,14164.0
270,23039.0
271,12133.0
272,13741.0
273,19190.0
274,21902.0
275,27893.0
276,16855.0
277,15250.0
278,20664.0
279,22028.0
280,19194.0
281,11307.0
282,16323.0
283,12250.0
284,16819.0
285,14380.0
286,13967.0
287,23936.0
288,12544.0
289,10784.0
290,11641.0
291,14208.0
292,19560.0
293,15302.0
294,13785.0
295,14257.0
296,16722.0
297,14129.0
298,6084.0
299,15246.0
300,23414.0
301,14319.0
302,23990.0
303,17567.0
304,17993.0
305,19811.0
306,13193.0
307,14935.0
308,20659.0
309,17405.0
