567 3452
v -1 0
v 0 13928
v 1 15141
v 2 9694
v 3 29659
v 4 12101
v 5 26074
v 6 28981
v 7 30941
v 8 37318
v 9 34509
v 10 26485
v 11 24646
v 12 8392
v 13 13382
v 14 13763
v 15 37269
v 16 30940
v 17 12806
v 18 21315
v 19 21612
v 20 27509
v 21 9845
v 22 6952
v 23 13471
v 24 54732
v 25 13751
v 26 12576
v 27 31866
v 28 8299
v 29 13759
v 30 20825
v 31 23064
v 32 10593
v 33 49270
v 34 35011
v 35 43567
v 36 55073
v 37 49670
v 38 53025
v 39 49049
v 40 43765
v 41 22830
v 42 27945
v 43 25605
v 44 38704
v 45 7400
v 46 6746
v 47 18238
v 48 10876
v 49 29646
v 50 16382
v 51 16602
v 52 21132
v 53 9109
v 54 36581
v 55 46272
v 56 27947
v 57 42972
v 58 35141
v 59 14969
v 60 7818
v 61 15435
v 62 12350
v 63 26246
v 64 12199
v 65 11851
v 66 18417
v 67 11604
v 68 35201
v 69 35000
v 70 30323
v 71 16791
v 72 20953
v 73 46772
v 74 18043
v 75 14903
v 76 19569
v 77 27004
v 78 27534
v 79 18969
v 80 31206
v 81 28046
v 82 30532
v 83 19770
v 84 14056
v 85 10454
v 86 18776
v 87 44878
v 88 41462
v 89 19084
v 90 22197
v 91 32017
v 92 50792
v 93 29593
v 94 12545
v 95 6526
v 96 27244
v 97 37333
v 98 11940
v 99 33002
v 100 8712
v 101 8291
v 102 13810
v 103 28591
v 104 1640
v 105 10614
v 106 21278
v 107 19416
v 108 13702
v 109 18805
v 110 21725
v 111 25327
v 112 16734
v 113 19080
v 114 19025
v 115 15298
v 116 22518
v 117 12482
v 118 41932
v 119 40288
v 120 11847
v 121 19696
v 122 24508
v 123 17194
v 124 38969
v 125 2494
v 126 1863
v 127 24847
v 128 18036
v 129 11009
v 130 10449
v 131 13238
v 132 21393
v 133 8335
v 134 12227
v 135 21487
v 136 14871
v 137 17101
v 138 16740
v 139 18293
v 140 25521
v 141 15171
v 142 26414
v 143 19053
v 144 13622
v 145 4332
v 146 543
v 147 20746
v 148 24899
v 149 5029
v 150 10525
v 151 9583
v 152 15854
v 153 22161
v 154 21017
v 155 13514
v 156 24765
v 157 29640
v 158 12697
v 159 22821
v 160 15741
v 161 25643
v 162 21121
v 163 38067
v 164 43657
v 165 21327
v 166 8529
v 167 23350
v 168 10873
v 169 25238
v 170 14464
v 171 26898
v 172 11898
v 173 16108
v 174 21271
v 175 8368
v 176 16127
v 177 16931
v 178 21041
v 179 24927
v 180 11379
v 181 22053
v 182 15577
v 183 15416
v 184 13860
v 185 25213
v 186 18593
v 187 25965
v 188 19404
v 189 14233
v 190 24700
v 191 34969
v 192 20250
v 193 17204
v 194 25547
v 195 24572
v 196 13816
v 197 15837
v 198 16342
v 199 11535
v 200 17603
v 201 26981
v 202 15410
v 203 19883
v 204 25729
v 205 23552
v 206 14793
v 207 17306
v 208 22530
v 209 18616
v 210 23096
v 211 14028
v 212 9512
v 213 20123
v 214 12723
v 215 13259
v 216 20844
v 217 15551
v 218 17661
v 219 20015
v 220 27635
v 221 15739
v 222 27063
v 223 20728
v 224 24413
v 225 26846
v 226 19209
v 227 20107
v 228 12949
v 229 21888
v 230 24203
v 231 16883
v 232 11309
v 233 18294
v 234 18140
v 235 15690
v 236 19611
v 237 15065
v 238 17916
v 239 14438
v 240 30831
v 241 14344
v 242 27432
v 243 14398
v 244 18451
v 245 27193
v 246 8510
v 247 25940
v 248 30142
v 249 18975
v 250 25619
v 251 17443
v 252 16271
v 253 19398
v 254 9013
v 255 15897
v 256 21188
v 257 11536
v 258 20355
v 259 22312
v 260 20824
v 261 10835
v 262 4742
v 263 16572
v 264 18472
v 265 26186
v 266 19859
v 267 22412
v 268 20421
v 269 14164
v 270 23039
v 271 12133
v 272 13741
v 273 19190
v 274 21902
v 275 27893
v 276 16855
v 277 15250
v 278 20664
v 279 22028
v 280 19194
v 281 11307
v 282 16323
v 283 12250
v 284 16819
v 285 14380
v 286 13967
v 287 23936
v 288 12544
v 289 10784
v 290 11641
v 291 14208
v 292 19560
v 293 15302
v 294 13785
v 295 14257
v 296 16722
v 297 14129
v 298 6084
v 299 15246
v 300 23414
v 301 14319
v 302 23990
v 303 17567
v 304 17993
v 305 19811
v 306 13193
v 307 14935
v 308 20659
v 309 17405
v 310 16572
v 311 27751
v 312 25135
v 313 21211
v 314 20762
v 315 28946
v 316 32511
v 317 19495
v 318 19509
v 319 23787
v 320 11902
v 321 15330
v 322 13324
v 323 24226
v 324 23487
v 325 21364
v 326 24073
v 327 12449
v 328 19921
v 329 27221
v 330 26371
v 331 30817
v 332 17446
v 333 13833
v 334 17696
v 335 24711
v 336 21076
v 337 20578
v 338 5062
v 339 12386
v 340 31086
v 341 12894
v 342 24531
v 343 18560
v 344 22348
v 345 16200
v 346 17713
v 347 17652
v 348 17147
v 349 16039
v 350 29283
v 351 17220
v 352 9906
v 353 17396
v 354 18370
v 355 14922
v 356 21049
v 357 20055
v 358 16447
v 359 16136
v 360 22181
v 361 16087
v 362 23211
v 363 25195
v 364 24153
v 365 15357
v 366 18063
v 367 25186
v 368 9995
v 369 17896
v 370 19045
v 371 28171
v 372 21555
v 373 17177
v 374 16662
v 375 7054
v 376 14680
v 377 17436
v 378 26889
v 379 19283
v 380 22328
v 381 18744
v 382 13048
v 383 20507
v 384 28224
v 385 27312
v 386 22927
v 387 4200
v 388 2506
v 389 28375
v 390 2036
v 391 19193
v 392 16396
v 393 18299
v 394 22637
v 395 14299
v 396 30249
v 397 27433
v 398 29624
v 399 22796
v 400 26062
v 401 25396
v 402 26835
v 403 24162
v 404 21400
v 405 23123
v 406 25894
v 407 27232
v 408 31587
v 409 22992
v 410 21575
v 411 30678
v 412 36171
v 413 28435
v 414 27095
v 415 33955
v 416 4795
v 417 17885
v 418 18839
v 419 27209
v 420 26153
v 421 9583
v 422 22027
v 423 15197
v 424 14507
v 425 25907
v 426 18744
v 427 12923
v 428 15002
v 429 17874
v 430 17303
v 431 26066
v 432 23454
v 433 16821
v 434 14676
v 435 29057
v 436 30800
v 437 11765
v 438 19996
v 439 18994
v 440 30471
v 441 16884
v 442 31663
v 443 34574
v 444 17561
v 445 15618
v 446 18616
v 447 21118
v 448 23066
v 449 21609
v 450 18597
v 451 25000
v 452 25832
v 453 14672
v 454 23203
v 455 23705
v 456 23720
v 457 24936
v 458 17703
v 459 22751
v 460 21308
v 461 28290
v 462 12446
v 463 30335
v 464 24809
v 465 23341
v 466 25573
v 467 27525
v 468 28057
v 469 26474
v 470 23008
v 471 18198
v 472 32471
